 n6_x550jx        Tebo-ICT,  license #xxxx ,                 User

 Test Fixture Nails     1573/1573  Selected Drills           26-January-2015 11:22
                        1573 Nails,  2540 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$62      -0.0273    9.3823   2  A1   (B)  #1546 SML0_CLK         T PIN T2404.1
$63      -0.0903    9.3553   3  A1   (B)  #1592 PM_SUS_STAT#     T PIN T2214.1
$64      -0.1563    9.3373   1  A1   (B)  #1591 SUS_CLK#         T PIN T2213.1
$65      -0.0793    9.4133   3  A1   (B)  #1554 USB_OC#0         T PIN TB_TP67.1
$66      -0.0293    9.4503   3  A1   (B)  #1545 SML0_DAT         T PIN T2405.1
$67      -0.0833    9.4803   3  A1   (B)  #1555 USB_OC#7         T PIN TB_TP1407.1
$68      -0.0263    9.5183   1  A1   (B)  #463  SLP_LAN#         T PIN T2207.1
$69       0.0457    9.5513   2  A1   (B)  #1377 N79716000        T PIN TB_TP1469.1
$70      -0.0943    9.6533   3  A1   (B)  #112  X2_RTC           T PIN TB_TP1463.1
$71      -0.1583    9.6543   2  A1   (B)  #473  WLAN_ON#_C       T PIN TB_TP441.1
$72      -0.1393    9.7433   1  A1   (B)  #506  PLL_ODVR_EN      T PIN TB_TP1376.1
$73      -0.1603    9.8653   2  A1   (B)  #395  +3VSUS_ORG       T PIN TB_TP76.1
$74      -0.0823    9.9153   3  A1   (B)  #472  ME_AC_PRESENT    T PIN TB_TP548.1
$75      -0.0873    9.8543   2  A1   (B)  #1493 SLP_S4#_R        T PIN TB_TP426.1
$76      -0.0533    9.7603   2  A1   (B)  #114  INTVRMEN         T PIN T2015.1
$77       0.0157    9.7763   2  A1   (B)  #423  RTCRST#          T PIN T2013.1
$78       0.0857    9.6173   3  A1   (B)  #480  PCB_ID1          T PIN TB_TP691.1
$79       0.1277    9.5873   3  A1   (B)  #502  GPIO71           T PIN TB_TP1308.1
$80       0.1827    9.5223   2  A1   (B)  #479  PCB_ID0          T PIN TB_TP709.1
$81       0.2787    9.5843   3  A1   (B)  #1598 PCH_DRQ#1        T PIN T2402.1
$82       0.2737    9.5223   3  A1   (B)  #1561 PCI_INTE#        T PIN TB_TP562.1
$83       0.3267    9.5193   3  A1   (B)  #1560 PCI_INTD#        T PIN TB_TP579.1
$84       0.4327    9.5173   2  A1   (B)  #455  CLK_DOT96#_PCH   T PIN TB_TP971.1
$85       0.3407    9.6153   1  A1   (B)  #508  USB3_SMI#        T PIN T2509.1
$86       0.3847    9.7053   1  A1   (B)  #486  STP_27M          T PIN TB_TP704.1
$87       0.3077    9.7543   1  A1   (B)  #1535 ACZ_BCLK         T PIN TB_TP1388.1
$88       0.1927    9.8073   3  A1   (B)  #477  DPWROK_R         T PIN T2218.1
$89       0.2067    9.8753   1  A1   (B)  #1046 N126802097       T PIN TB_TP388.1
$90       0.3887   10.0573   1  A1   (B)  #814  +3VSUS_HDA       T PIN TB_TP417.1
$91       0.4427   10.2303   2  A1   (B)  #1264 USB_PP9          T PIN TB_TP72.1
$92       0.4627   10.3403   1  B1   (B)  #1266 USB_PP3          T PIN TB_TP1517.1
$93       0.5097   10.2623   2  B1   (B)  #1263 USB_PN9          T PIN TB_TP78.1
$94       0.5407   10.0963   1  B1   (B)  #833  +V3_3S_VCC_FLEX0 T PIN TB_TP352.1
$95       0.5837   10.0293   2  B1   (B)  #1315 Q2001_D          T PIN TB_TP1374.1
$96       0.5337    9.9703   2  B1   (B)  #400  ACZ_SDOUT        T PIN TB_TP1500.1
$97       0.4657    9.9003   1  B1   (B)  #1558 PCI_INTB#        T PIN TB_TP720.1
$98       0.5727    9.8773   1  B1   (B)  #828  N73158096        T PIN TB_TP346.1
$99       0.6997    9.8753   1  B1   (B)  #834  +V3_3S_VCC_FLEX1 T PIN TB_TP368.1
$100      0.7417    9.8213   3  B1   (B)  #836  +V3_3S_VCC_ASEPCI T PIN TB_TP326.1
$101      0.6287    9.6273   1  B1   (B)  #885  +V1_05M_VCCASW   T PIN TB_TP1065.1
$102      0.7057    9.5613   2  B1   (B)  #818  +V1_05S_PCH_VCC  T PIN TB_TP1035.1
$103      0.6987    9.4913   2  B1   (B)  #827  N73081691        T PIN TB_TP308.1
$104      0.5867    9.5163   1  B1   (B)  #121  CLK_DEBUG_R      T PIN TB_TP1509.1
$105      0.4917    9.5623   2  B1   (B)  #456  CLK_DOT96_PCH    T PIN TB_TP1446.1
$106      0.4657    9.3903   1  B1   (B)  #820  +3VS_VCC_GIO     T PIN TB_TP962.1
$107      0.5367    8.9983   1  B1   (B)  #841  N74778214        T PIN TB_TP374.1
$108      0.8427    9.0823   1  B1   (B)  #125  DAC_IREF         T PIN TB_TP621.1
$109      0.7567    9.1353   3  B1   (B)  #1581 PCH_TP18         T PIN T2135.1
$110      0.6957    9.1693   1  B1   (B)  #1580 PCH_TP19         T PIN T2128.1
$111      0.7287    9.3473   2  B1   (B)  #1469 CRT_VSYNC_R      T PIN TB_TP682.1
$112      0.7907    9.3393   3  B1   (B)  #1468 CRT_HSYNC_R      T PIN TB_TP742.1
$113      0.8627    9.3653   3  B1   (B)  #1466 CLK_PCIE_PEG#_PCH T PIN TB_TP1107.1
$114      0.8387    9.4193   2  B1   (B)  #1464 CLK_PCIE_PEG_PCH T PIN TB_TP1026.1
$115      0.9677    9.6923   1  B1   (B)  #76   +1_05VS          T PIN PT8201.1
$116      0.9157    9.9703   1  B1   (B)  #47   +1_05VSO         T PIN PT8207.1
$117      1.0917   10.1343   2  B1   (B)  #28   P_+1_05VS_LX_S   T PIN TB_TP205.1
$118      1.1297   10.0713   2  B1   (B)  #970  P_+1_05VS_VCC_20 T PIN TB_TP218.1
$119      1.1507    9.9573   1  B1   (B)  #340  P_+1_05VS_FB_10  T PIN TB_TP175.1
$120      1.2037    9.8333   1  B1   (B)  #303  P_+1_05VSUS_VOUT_10 T PIN TB_TP166.1
$121      1.2977    9.7683   3  B1   (B)  #1286 N23409315        T PIN TB_TP1113.1
$122      1.3827    9.6723   2  B1   (B)  #863  DGPU_PWROK       T PIN TB_TP872.1
$123      1.3607    9.7403   2  B1   (B)  #1285 N23409229        T PIN TB_TP1235.1
$124      1.3937    9.8373   1  B1   (B)  #332  NVDD_VSSSENSE    T PIN TB_TP235.1
$125      1.3117    9.8483   2  B1   (B)  #331  NVDD_VCCSENSE    T PIN TB_TP197.1
$126      1.2997    9.9243   2  B1   (B)  #415  P_NVVDD_OCS/TON_32 T PIN TB_TP1242.1
$127      1.3027    9.9973   2  B1   (B)  #422  P_NVVDD_VREF_10  T PIN TB_TP1214.1
$128      1.6087   10.0973   1  B1   (B)  #1360 NVDD_PSI         T PIN TB_TP694.1
$129      1.6667   10.0023   1  B1   (B)  #1323 P_NVVDD_HG1_30   T PIN TB_TP1014.1
$130      1.6527    9.7523   1  B1   (B)  #1324 P_NVVDD_HG2_30   T PIN TB_TP1043.1
$131      1.9537    9.9503   1  B1   (B)  #53   P_NVVDD_VIN_S    T PIN TB_TP1120.1
