 n6_x550jx        Tebo-ICT,  license #xxxx ,                 User

 Parts List              2502/2502  Selected Parts             26-January-2015 11:22
                                                           INCH units

Part             X         Y     Rot  Grid  T/B  'Device', 'Outline'
PR8076        4.0577    6.2523  180.0  C3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8087        4.6827    7.4863    0.0  D2   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
PR8088        4.1627    6.3423    0.0  C3   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
PR8099        5.0752    8.0138   90.0  D2   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
PR8100        0.0377    4.4773  270.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8101        0.0677    4.8773  180.0  A4   (B)  'NBS_R0603_H24_000S', 'NBS_R0603_H24_000S'
PR8102        0.1427    4.8623   90.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8103        0.1277    4.7773  180.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8104       -0.1573    4.5323   90.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8105       -0.1773    4.5873  180.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8106       -0.1723    4.6723  180.0  A4   (B)  'R0402', 'R0402'
PR8113       -0.1773    4.7523  180.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8114       -0.4273    4.7123    0.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8115       -0.2673    4.7523  180.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8116        0.0527    4.5323  180.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8117       -0.1773    4.7123    0.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8120       -0.2673    4.8323  180.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8130        0.7927    5.0053  270.0  B4   (T)  'NBS_R1206_H30_000S', 'NBS_R1206_H30_000S'
PR8131        0.7127    4.4023    0.0  B4   (T)  'NBS_R1206_H30_000S', 'NBS_R1206_H30_000S'
PR8139       -0.2673    4.7923  180.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8140       -0.1173    4.5323   90.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8201        1.2127    9.9648  180.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8203        1.1727    9.8723   90.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8204        1.0527   10.0198    0.0  B1   (T)  'NBS_R0603_H39_000S', 'NBS_R0603_H39_000S'
PR8205        1.1577    9.9423  270.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8206        1.1277   10.3473   90.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8207        1.1977    9.7723  180.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8208        0.9177   10.2673    0.0  B1   (T)  'NBS_R1206_H30_000S', 'NBS_R1206_H30_000S'
PR8209        1.3677   10.3373  270.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8210        1.2377   10.2673  180.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8211        1.2377   10.2273  180.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8214        1.1177    9.9073  270.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8218        0.6427   10.2483  270.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8219        1.1277   10.2673  270.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8220        0.9677   10.3473  270.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8301        1.4727    8.4473  270.0  B2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8302        1.1527    8.4473  270.0  B2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8303        1.8452    8.8373  270.0  B2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8305        1.0527    8.6613    0.0  B2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8307        1.8177    8.9223  180.0  B2   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
PR8309        1.4177    8.5523  180.0  B2   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
PR8310        1.4177    8.7023  180.0  B2   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
