 n6_x550jx        Tebo-ICT,  license #xxxx ,                 User

 Parts List              2502/2502  Selected Parts             26-January-2015 11:22
                                                           INCH units

Part             X         Y     Rot  Grid  T/B  'Device', 'Outline'
R3031        -0.2343    3.4983  180.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3032        -0.7323    3.9623  270.0  A4   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R3033        -1.0553    4.0163    0.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3034        -0.5323    3.9623   90.0  A4   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R3036        -0.3123    3.9823  180.0  A4   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R3037        -0.9523    3.9023    0.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3041        -0.1283    3.8293  180.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3042        -0.9533    3.8083    0.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3043        -0.3123    4.3423   90.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3044        -0.3523    4.3423   90.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3049        -1.0423    3.8053  180.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3050        -0.9523    3.6923  180.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3051        -0.7843    3.4343    0.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3052        -0.9523    4.1793    0.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3053        -0.7243    3.4043  270.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3054        -0.9523    3.7723    0.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3056        -0.6843    3.4043  270.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3057        -0.4423    4.3423  270.0  A4   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R3058        -0.8873    3.4923  270.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3059        -1.0373    3.7673    0.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3060        -0.2343    3.4583  180.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3062        -1.0373    3.7273    0.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3063        -0.9533    3.8443    0.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3064        -0.4823    4.4623   90.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3068        -0.9523    3.6523    0.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3070        -0.5723    3.9623  270.0  A4   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R3071        -0.3923    3.9823  180.0  A4   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R3072        -1.0223    4.0923    0.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3074        -0.9403    4.0033  270.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3075        -0.6153    4.3423    0.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3080        -0.9523    4.0893    0.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3081        -0.8123    4.2598   90.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3084        -0.1403    3.7763    0.0  A4   (B)  'NBS_R0402_SHORTED_000S', 'NBS_R0402_SHORTED_000S'
R3085        -0.6153    4.3823    0.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3086        -0.2873    3.4248  270.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3087        -0.3923    4.3423   90.0  A4   (B)  'NBS_R0402_SHORTED_000S', 'NBS_R0402_SHORTED_000S'
R3090        -0.1693    4.2563  180.0  A4   (B)  'NBS_R0402_SHORTED_000S', 'NBS_R0402_SHORTED_000S'
R3091        -0.8473    3.4923  270.0  A4   (B)  'NBS_R0402_SHORTED_000S', 'NBS_R0402_SHORTED_000S'
R3092        -0.6343    3.4043   90.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3093        -0.4423    4.3423  270.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3094        -0.4423    4.4623   90.0  A4   (B)  'NBS_R0402_SHORTED_000S', 'NBS_R0402_SHORTED_000S'
R3095        -0.6343    3.4943  270.0  A4   (B)  'NBS_R0402_SHORTED_000S', 'NBS_R0402_SHORTED_000S'
R3098        -0.5943    3.4043  270.0  A4   (B)  'NBS_R0402_SHORTED_000S', 'NBS_R0402_SHORTED_000S'
R3099        -0.2323    3.5473  180.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3102         3.7677    5.5623  270.0  C3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3103         3.7677    5.4823  270.0  C3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3104         3.7177    5.6473  270.0  C3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3204        -0.8023    4.6773    0.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3205        -0.8023    4.6373    0.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3207        -0.8623    4.6573  270.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3301         0.8484    3.5096  270.0  B4   (B)  'NBS_R0805_H24_000S', 'NBS_R0805_H24_000S'
R3302         0.3377    3.1023   90.0  A5   (B)  'NBS_R0603_H24_000S', 'NBS_R0603_H24_000S'
R3303         0.1277    3.1023   90.0  A5   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3304         0.0577    2.9523  270.0  A5   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3305         0.7577    3.1723   90.0  B5   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3306         0.0305    3.4289   90.0  A4   (B)  'NBS_R0805_H24_000S', 'NBS_R0805_H24_000S'
R3307         0.4677    3.7223   90.0  B4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3309         0.6677    3.7223   90.0  B4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3312         0.6677    3.6323  270.0  B4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3314         0.6277    3.6323   90.0  B4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3322         0.4677    3.6323  270.0  B4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3401         0.7777    2.4323  270.0  B5   (B)  'NBS_R0603_H24_000S', 'NBS_R0603_H24_000S'
R3402         0.6627    2.4323  270.0  B5   (B)  'NBS_R0603_H24_000S', 'NBS_R0603_H24_000S'
R3403         0.5377    2.4323  270.0  B5   (B)  'NBS_R0603_H24_000S', 'NBS_R0603_H24_000S'
R3404         0.4277    2.4323  270.0  A5   (B)  'NBS_R0603_H24_000S', 'NBS_R0603_H24_000S'
R3601        -1.0873    2.2283  270.0  A5   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3602        -0.7823    2.2323    0.0  A5   (B)  'NBS_R0603_H24_000S', 'NBS_R0603_H24_000S'
R3603        -1.0733    2.4563  180.0  A5   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3604        -0.8073    2.7448   90.0  A5   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
R3605        -0.8573    2.7423   90.0  A5   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R3607        -1.1633    2.6353  270.0  A5   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R3608        -1.0423    2.6323  270.0  A5   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3609        -1.0823    2.6323   90.0  A5   (B)  'R0402_H16', 'R0402_H16'
R3610        -0.8498    2.4508   90.0  A5   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R3611        -1.0013    2.6663  270.0  A5   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3612        -1.3423    2.5763   90.0  A5   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R3613        -1.2348    2.6673  270.0  A5   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R3614        -1.2748    2.6673  270.0  A5   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R3616        -0.9013    2.4503   90.0  A5   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R3617        -0.5923    2.3723   90.0  A5   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R3618        -1.3003    2.5648  270.0  A5   (T)  'NBS_L0603_H39_000S_B', 'NBS_L0603_H39_000S_B'
R3619        -1.2518    2.5648  270.0  A5   (T)  'NBS_L0603_H39_000S_B', 'NBS_L0603_H39_000S_B'
R3620        -1.0583    2.3573   90.0  A5   (B)  'R0402_H16', 'R0402_H16'
R3621        -1.0173    2.3563   90.0  A5   (B)  'R0402_H16', 'R0402_H16'
R3622        -1.0723    2.5423  180.0  A5   (T)  'R0402_H16_B', 'R0402_H16_B'
R3624        -0.6673    2.2323    0.0  A5   (B)  'R0603_H24', 'R0603_H24'
R3625        -0.6223    2.4698    0.0  A5   (B)  'NBS_R0603_H22_000S', 'NBS_R0603_H22_000S'
R3626        -0.6223    2.5198    0.0  A5   (B)  'NBS_R0603_H22_000S', 'NBS_R0603_H22_000S'
R3627        -0.6223    2.5698    0.0  A5   (B)  'NBS_R0603_H22_000S', 'NBS_R0603_H22_000S'
R3628        -1.0723    2.4913  180.0  A5   (T)  'R0402_H16_B', 'R0402_H16_B'
R3629        -0.6223    2.6198    0.0  A5   (B)  'NBS_R0603_H22_000S', 'NBS_R0603_H22_000S'
R3635        -1.1643    2.6343   90.0  A5   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3636        -1.1223    2.6323   90.0  A5   (B)  'R0402_H16', 'R0402_H16'
R3701        -1.0023    2.7273  270.0  A5   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R3703        -1.0423    2.7273   90.0  A5   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R3712        -0.9323    2.1823  270.0  A5   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3714        -1.3673    1.9173  270.0  A5   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3715        -1.0223    2.2333  270.0  A5   (T)  'R0402_H16_B', 'R0402_H16_B'
R3716        -1.1473    2.2763  270.0  A5   (T)  'R0402_H16_B', 'R0402_H16_B'
R3720        -1.1973    2.5173   90.0  A5   (B)  'NBS_R0603_H24_000S', 'NBS_R0603_H24_000S'
R3722        -1.0923    2.1573    0.0  A5   (T)  'NBS_ESD_2P_001', 'NBS_ESD_2P_001'
R3746        -1.2223    2.0573  270.0  A5   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3747        -1.3423    2.5583   90.0  A5   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R3748        -1.4073    1.9173  270.0  A5   (B)  'R0402', 'R0402'
R3749        -0.8623    2.1623    0.0  A5   (B)  'R0402', 'R0402'
R4026        -0.1723    3.4623    0.0  A4   (T)  'NBS_R0402_SHORTED_000S_B', 'NBS_R0402_SHORTED_000S_B'
R4027        -0.1723    3.0423    0.0  A5   (T)  'NBS_R0402_SHORTED_000S_B', 'NBS_R0402_SHORTED_000S_B'
R4028        -0.1723    3.5423    0.0  A4   (T)  'NBS_R0402_SHORTED_000S_B', 'NBS_R0402_SHORTED_000S_B'
R4029        -0.1723    3.2923    0.0  A5   (T)  'NBS_R0402_SHORTED_000S_B', 'NBS_R0402_SHORTED_000S_B'
R4030        -0.1723    3.5023    0.0  A4   (T)  'NBS_R0402_SHORTED_000S_B', 'NBS_R0402_SHORTED_000S_B'
R4031        -0.1723    3.0823    0.0  A5   (T)  'NBS_R0402_SHORTED_000S_B', 'NBS_R0402_SHORTED_000S_B'
R4501         5.9602    9.8098  270.0  D1   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
R4502         6.1567    9.8328  180.0  D1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R4503         6.2527    9.4998    0.0  D1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R4504         6.2577    9.4098  180.0  D1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R4505         5.5427    9.2923   90.0  D1   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R4509         5.6577    9.3473  180.0  D1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R4510         5.9577    9.4873   90.0  D1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R4511         5.9577    9.4148   90.0  D1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R4515         5.6277    8.9823    0.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R4516         5.7137    9.2363  270.0  D1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R4520         5.6577    9.3873    0.0  D1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R4521         5.5727    9.6373    0.0  D1   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R4522         5.5727    9.5973    0.0  D1   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R4523         5.5727    9.5573    0.0  D1   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R4524         5.5727    9.5173    0.0  D1   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R4525         5.5727    9.4773    0.0  D1   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R4526         5.5727    9.4373    0.0  D1   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R4527         5.5727    9.3923    0.0  D1   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R4528         5.5727    9.3523    0.0  D1   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R4540         5.8877    9.7248  270.0  D1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R4541         5.8477    9.7248  270.0  D1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R4542         6.1577    9.7923  180.0  D1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R4543         6.1577    9.7523  180.0  D1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R4544         5.6627   10.5923   90.0  D1   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R4545         5.6577    9.3073    0.0  D1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R4547         5.4327   10.5523   90.0  D1   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R4550         5.6777    9.6373  180.0  D1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R4551         5.6777    9.5973  180.0  D1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R4552         5.6777    9.5573  180.0  D1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R4553         5.6777    9.5173  180.0  D1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R4554         5.6777    9.4398  180.0  D1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R4555         5.6777    9.4773  180.0  D1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R4556         5.7877    9.2023    0.0  D1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R4586         5.8637    9.9163   90.0  D1   (T)  'NBS_R0805_H24_000S_B', 'NBS_R0805_H24_000S_B'
R4601         5.8877   10.5923  270.0  D1   (B)  'NBS_R0603_SHORTED_000S', 'NBS_R0603_SHORTED_000S'
R4602         5.4427   10.4873  180.0  D1   (B)  'NBS_R0603_SHORTED_000S', 'NBS_R0603_SHORTED_000S'
R4603         5.8527   10.2323   90.0  D1   (B)  'NBS_R0603_SHORTED_000S', 'NBS_R0603_SHORTED_000S'
R4604         5.8537   10.2323  270.0  D1   (T)  'NBS_R0603_SHORTED_000S_B', 'NBS_R0603_SHORTED_000S_B'
R4605         5.8627   10.3473  180.0  D1   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R4606         5.7627   10.5923  270.0  D1   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R4634         5.4727   10.5523  270.0  D1   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R4701         2.4177    2.7923  180.0  B5   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R4702         2.3352    2.5398    0.0  B5   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R4703         2.5252    2.5498  180.0  C5   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R4704         2.8577    2.4723    0.0  C5   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R4705         2.7977    2.6523    0.0  C5   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R4801         1.5277    2.0323    0.0  B5   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R4802         1.5977    2.0323    0.0  B5   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R4803         1.6877    2.0323  180.0  B5   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R4804         1.7677    2.0323    0.0  B5   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R4827         2.0777    2.0923  180.0  B5   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R4830         1.7877    2.3723  270.0  B5   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R4831         1.7502    2.3723  270.0  B5   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R4832         1.6702    2.3723  270.0  B5   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R4833         1.7102    2.3723  270.0  B5   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R4834         1.6227    2.3723  270.0  B5   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R4835         1.5827    2.3723  270.0  B5   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R4836         1.5402    2.3723  270.0  B5   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R4837         1.5002    2.3723  270.0  B5   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R4838         1.4177    2.3523    0.0  B5   (B)  'NBS_R0402_SHORTED_000S', 'NBS_R0402_SHORTED_000S'
R4864         2.2677    1.9673  180.0  B5   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R4899         1.7177    2.8223   90.0  B5   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R5002         3.9377    5.7073  221.0  C3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R5006         2.9487    6.1763  270.0  C3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R5101         2.3777   10.3773    0.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R5103         2.5227   10.3373  180.0  C1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R5105         2.5877   10.5523   90.0  C1   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
R5301         1.6177    3.3023    0.0  B5   (B)  'NBS_R0805_H24_000S', 'NBS_R0805_H24_000S'
R5302         1.6277    3.4923    0.0  B4   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
R5305         1.6377    3.4323  180.0  B4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R5306         1.6377    3.7623  180.0  B4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R5307         1.6652    4.3123  180.0  B4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R5308         1.6377    3.3223  180.0  B5   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R5309         1.6377    3.2823  180.0  B5   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R5310         1.6377    3.2423  180.0  B5   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R5314         1.6377    3.5823  180.0  B4   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R5317         1.5577    3.7073  270.0  B4   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R5340         1.6652    4.2748    0.0  B4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R5601        -1.3023    3.2823    0.0  A5   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R5603        -1.1283    3.6453  270.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R5604        -1.1123    4.1573    0.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R5605        -1.0223    4.1283  180.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R5607        -1.2923    2.8123  180.0  A5   (B)  'NBS_R0603_H24_000S', 'NBS_R0603_H24_000S'
R5608        -1.2923    2.7523  180.0  A5   (B)  'NBS_R0603_H24_000S', 'NBS_R0603_H24_000S'
R5610        -0.9923    4.2773    0.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R5614        -1.0273    4.2143  180.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R5615        -1.1723    3.0523  180.0  A5   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R5616        -1.1723    3.0123    0.0  A5   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R5617        -1.0383    3.6823    0.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R5701        -0.5623    4.6373  180.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R5702        -0.5623    4.6773  180.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R5703        -0.6423    4.5573  270.0  A4   (B)  'NBS_R0603_H24_000S', 'NBS_R0603_H24_000S'
R5704         2.2477    8.0223    0.0  B2   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
R5705         2.2477    7.8423  180.0  B2   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
R5706        -0.0573    8.6623    0.0  A2   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
R5707        -0.2848    8.6583  180.0  A2   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
R5708         3.6457    5.5773  180.0  C3   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
R5709         0.0577    2.8623  270.0  A5   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R5710        -0.4823    5.1073    0.0  A4   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
R5711        -0.5123    4.8653    0.0  A4   (B)  'NBS_R0603_H24_000S', 'NBS_R0603_H24_000S'
R5713         3.6477    5.4223    0.0  C3   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
R5714        -0.4773    5.4198  270.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R5715        -0.2723    5.5123   90.0  A3   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
R5716        -0.2323    5.4223  270.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R5717         0.2277    2.8473   90.0  A5   (B)  'NBS_R0603_H24_000S', 'NBS_R0603_H24_000S'
R5718        -0.2723    5.4223  270.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R5721        -1.0323    3.9723    0.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R5722        -1.1383    4.0293    0.0  A4   (B)  'NBS_R0603_H24_000S', 'NBS_R0603_H24_000S'
R5801         0.1677    3.9453   90.0  A4   (B)  'NBS_R0603_H24_000S', 'NBS_R0603_H24_000S'
R5802         0.0542    3.6753   90.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R5808         0.0147    3.6783   90.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R5809        -0.1403    3.6923  180.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R5810        -0.2673    4.8723  180.0  A4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R6801         3.3251    2.6643  180.0  C5   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R6810         3.3815    3.1959    0.0  C5   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7001         3.7207    8.6983   90.0  C2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7004         4.5977    8.2689  180.0  D2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7005         4.2127    8.6013  270.0  C2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7007         3.7027    8.5798    0.0  C2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7008         4.1597    8.7393   90.0  C2   (B)  'NBS_R0603_H24_000S', 'NBS_R0603_H24_000S'
R7012         2.7427    7.8789    0.0  C2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7014         1.4627    9.6723    0.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7015         2.6627    7.9189    0.0  C2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7017         3.1877    7.9473  180.0  C2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7027         2.7477    7.8239  180.0  C2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
