 CHICAGO_HR_HPC_MV_MB_V1        eM-Test Expert (R)     licence #1 AAAAAAAA TECHNOLOGY INC, 

 Test Fixture Nails    1429/6711 Selected Drills           5-Mar-2011 8:40
                       1429 Nails, 2192 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$95       -4.282    -6.544   1  D6   (T)  #1176 CLK_BUF_CKSSCD   V TEST .
$96       -4.210    -6.444   3  D6   (T)  #1153 SATA_RXN0        V VIA .
$97       -4.088    -6.655   1  D6   (T)  #1036 FDI_LSYNC1       V VIA .
$98       -4.116    -6.892   3  D6   (T)  #1012 DMI_TXP1         V VIA .
$99       -4.064    -6.888   3  D6   (T)  #1020 DMI_RXP1         V VIA .
$100      -3.974    -6.811   3  D6   (T)  #1168 CLK_DMI_PCH#     V VIA .
$101      -3.979    -6.861   3  D6   (T)  #1169 CLK_DMI_PCH      V VIA .
$102      -3.990    -6.955   3  D6   (T)  #1221 DMI_COMP         V VIA .
$103      -4.038    -6.969   3  D6   (T)  #1019 DMI_RXP0         V VIA .
$104      -4.116    -6.968   1  D6   (T)  #1011 DMI_TXP0         V VIA .
$105      -4.191    -7.163   1  D6   (T)  #1201 PCIE_TXP3        V VIA .
$106      -4.114    -7.204   3  D6   (T)  #1199 PCIE_TXN5        V VIA .
$107      -4.060    -7.167   1  D6   (T)  #1198 PCIE_TXN3        V TEST .
$108      -3.952    -7.220   1  D6   (T)  #1202 PCIE_TXP5        V TEST .
$109      -3.909    -7.055   1  D6   (T)  #1200 PCIE_TXP1        V TEST .
$110      -3.834    -7.065   2  D6   (T)  #1197 PCIE_TXN1        V TEST .
$111      -3.832    -6.989   1  D6   (T)  #1172 CLK_BUF_CPYCLK#  V VIA .
$112      -3.809    -6.844   3  D6   (T)  #1021 DMI_RXP2         V VIA .
$113      -3.765    -6.770   3  D6   (T)  #1028 FDI_TXN1         V VIA .
$114      -3.766    -6.719   3  D6   (T)  #1032 FDI_TXP1         V VIA .
$115      -3.640    -6.710   1  C6   (T)  #1029 FDI_TXN2         V VIA .
$116      -3.650    -6.610   1  C6   (T)  #1041 FDI_TXP4         V VIA .
$117      -3.539    -6.409   3  C6   (T)  #1155 SATA_TXN0        V VIA .
$118      -3.539    -6.460   3  C6   (T)  #1156 SATA_TXP0        V VIA .
$119      -3.443    -6.587   1  C6   (T)  #1030 FDI_TXN3         V VIA .
$120      -3.440    -6.513   3  C6   (T)  #1042 FDI_TXP5         V VIA .
$121      -3.457    -6.462   3  C6   (T)  #1039 FDI_TXN6         V VIA .
$122      -3.438    -6.407   3  C6   (T)  #1040 FDI_TXN7         V VIA .
$123      -4.189    -4.167   1  D4   (T)  #245  PEG_RXN3_C       V VIA .
$124      -4.148    -4.252   1  D4   (T)  #252  PEG_RXP6_C       V VIA .
$125      -4.293    -4.348   1  D4   (T)  #220  AT_CALRP         V VIA .
$126      -4.097    -4.485   3  D4   (T)  #253  PEG_RXN7_C       V VIA .
$127      -4.097    -4.434   3  D4   (T)  #254  PEG_RXP7_C       V VIA .
$128      -4.083    -4.352   1  D4   (T)  #251  PEG_RXN6_C       V VIA .
$129      -4.017    -4.384   3  D4   (T)  #248  PEG_RXP4_C       V VIA .
$130      -4.017    -4.435   3  D4   (T)  #247  PEG_RXN4_C       V VIA .
$131      -4.020    -4.511   3  D4   (T)  #250  PEG_RXP5_C       V VIA .
$132      -4.020    -4.562   3  D4   (T)  #249  PEG_RXN5_C       V VIA .
$133      -3.974    -4.300   3  D4   (T)  #243  PEG_RXN2_C       V VIA .
$134      -3.974    -4.250   3  D4   (T)  #244  PEG_RXP2_C       V VIA .
$135      -4.060    -4.285   3  D4   (T)  #246  PEG_RXP3_C       V VIA .
$136      -4.024    -4.245   3  D4   (T)  #242  PEG_RXP1_C       V VIA .
$137      -4.024    -4.195   3  D4   (T)  #241  PEG_RXN1_C       V VIA .
$138      -3.975    -4.185   3  D4   (T)  #240  PEG_RXP0_C       V VIA .
$139      -3.975    -4.134   3  D4   (T)  #239  PEG_RXN0_C       V VIA .
$140      -4.007    -3.979   2  D4   (T)  #222  CLK_PEG_REF      V VIA .
$141      -5.673    -4.831   1  E4   (T)  #1253 UHDMI_CLKP_C     V VIA .
$142      -5.675    -4.963   1  E4   (T)  #1251 UHDMI_TX0P_C     V VIA .
$143      -5.666    -5.073   1  E5   (T)  #1249 UHDMI_TX1P_C     V VIA .
$161      -2.744    -5.960   1  C5   (T)  #1110 H_CPUPWRGD       V VIA .
$162      -4.265    -6.402   3  D6   (T)  #1295 H_PECI_R         V VIA .
$193      -4.426    -5.877   3  D5   (T)  #417  GDDR_A_A7        V VIA .
$194      -4.368    -5.856   3  D5   (T)  #415  GDDR_A_A5        V VIA .
$195      -4.434    -5.819   3  D5   (T)  #418  GDDR_A_A13       V VIA .
$196      -4.412    -5.770   3  D5   (T)  #416  GDDR_A_A6        V VIA .
$197      -4.506    -5.754   1  D5   (T)  #422  GDDR_A_A11       V VIA .
$198      -4.448    -5.717   3  D5   (T)  #426  GDDR_A_BA1       V VIA .
$199      -4.388    -5.697   3  D5   (T)  #411  GDDR_A_A1        V VIA .
$200      -4.484    -5.554   1  D5   (T)  #421  GDDR_A_A10       V VIA .
$201      -4.356    -5.218   1  D5   (T)  #343  GDDR_A_DQ14      V VIA .
$202      -4.423    -5.101   1  D5   (T)  #412  GDDR_A_A2        V VIA .
$203      -4.283    -5.058   1  D5   (T)  #344  GDDR_A_DQ15      V VIA .
$204      -4.218    -5.074   3  D5   (T)  #368  GDDR_A_DQ9       V VIA .
$205      -4.186    -4.968   1  D4   (T)  #436  GDDR_A_DM2       V VIA .
$206      -4.266    -4.958   3  D4   (T)  #346  GDDR_A_DQ17      V VIA .
$207      -4.311    -4.919   3  D4   (T)  #434  GDDR_A_DM3       V VIA .
$208      -4.311    -4.869   3  D4   (T)  #354  GDDR_A_DQ24      V VIA .
$209      -4.355    -4.798   3  D4   (T)  #327  GDDR_A_CS0_0#    V VIA .
$210      -4.369    -4.846   3  D4   (T)  #319  GDDR_A_CKE0      V VIA .
$211      -4.394    -4.893   3  D4   (T)  #355  GDDR_A_DQ25      V VIA .
$212      -4.394    -4.948   3  D4   (T)  #332  GDDR_A_DQS#3     V VIA .
$213      -4.458    -4.932   3  D4   (T)  #357  GDDR_A_DQ27      V VIA .
$214      -4.459    -4.878   3  D4   (T)  #358  GDDR_A_DQ28      V VIA .
$215      -4.507    -4.897   3  D4   (T)  #361  GDDR_A_DQ30      V VIA .
$216      -4.563    -4.887   3  D4   (T)  #392  GDDR_A_DQ35      V VIA .
$217      -4.522    -5.045   1  D5   (T)  #425  GDDR_A_BA0       V VIA .
$218      -4.595    -5.047   3  D5   (T)  #419  GDDR_A_A8        V VIA .
$219      -4.615    -5.096   3  D5   (T)  #424  GDDR_A_BA2       V VIA .
$220      -4.667    -5.020   1  D5   (T)  #380  GDDR_A_DQ51      V VIA .
$221      -4.796    -5.037   1  D5   (T)  #378  GDDR_A_DQ49      V VIA .
$222      -4.646    -4.931   3  D4   (T)  #397  GDDR_A_DQ38      V VIA .
$223      -4.646    -4.881   3  D4   (T)  #398  GDDR_A_DQ39      V VIA .
$224      -4.646    -4.776   1  D4   (T)  #439  GDDR_A_DM4       V VIA .
