 N750JV-R21        FABMASTER (R)          licence #5039 TEST RESEARCH INC, 

 Test Fixture Nails    1551/1665 Selected Drills           24-Jun-2013 16:48
                       1551 Nails, 2125 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$80        9.435     0.600   2  B3   (T)  #1647 P_FBVDDQ_EN_10   V VIA .
$81        9.480     0.375   1  B4   (T)  #1419 DGPU_FBVDDQ_EN   V VIA .
$82        9.655     0.660   2  B3   (T)  #1885 P_FBVDDQ_DH_30   V VIA .
$83        9.710     0.725   1  B3   (T)  #931  P_FBVDDQ_LX_30   V VIA .
$84        9.790     1.065   1  B3   (T)  #1827 P_FBVDDQ_DHR_30  V VIA .
$85       10.073     0.612   1  B3   (T)  #1265 +3VS1_PIN16      V VIA .
$86       10.096     0.525   1  B3   (T)  #359  U5101_TSET       V VIA .
$87       10.080     0.435   1  B4   (T)  #288  REXT             V VIA .
$88       10.365     0.660   1  B3   (T)  #1276 MSATA_NC0        V VIA .
$89       10.345     0.555   1  B3   (T)  #357  BP0              V VIA .
$90       10.325     0.360   1  B4   (T)  #1266 +3VS1_PIN6       V VIA .
$91       10.076     0.176   1  B4   (T)  #783  Q5101_GATE       V VIA .
$92       10.285     0.070   1  B4   (T)  #74   SATA_ODD_DA#_R   V VIA .
$93        9.985    -0.420   3  B4   (T)  #249  P_CHG_IOUT_10    V VIA .
$94        9.930    -0.449   3  B4   (T)  #739  P_CHG_ACDET_10   V VIA .
$95        9.840    -0.420   1  B4   (T)  #746  P_CHG_CMSRC_20   V VIA .
$96        9.925    -0.650   1  B4   (T)  #748  P_CHG_ILIM_10    V VIA .
$97        9.811    -0.609   3  B4   (T)  #744  P_CHG_BATDRV_20  V VIA .
$98        9.780    -0.660   3  B4   (T)  #752  P_CHG_SRN_10     V VIA .
$99        9.735    -0.630   3  B4   (T)  #753  P_CHG_SRP_10     V VIA .
$100       9.672    -0.513   1  B4   (T)  #747  P_CHG_HG_30      V VIA .
$101       9.405    -0.595   1  B4   (T)  #987  P_CHG_SRP_R_10   V VIA .
$102       9.155    -0.400   1  B4   (T)  #1310 P_CHG_SRN_R_10   V VIA .
$103       8.755    -0.050   1  C4   (T)  #1261 P_IBAT_IN+_20    V VIA .
$104       8.680    -0.085   2  C4   (T)  #1264 +VCC_PWRLIMIT_10 V VIA .
$105       8.490    -0.425   1  C4   (T)  #837  BAT_CON          V PIN PT6008.1
$106       7.985    -0.620   1  C4   (T)  #984  +5VS_PWR_VCC     V VIA .
$107       7.990    -0.260   2  C4   (T)  #664  FBB_CMD19        V VIA .
$108       8.423     0.036   1  C4   (T)  #733  FBB_D44          V VIA .
$109       8.399     0.132   1  C4   (T)  #731  FBB_D45          V VIA .
$110       8.552     0.290   1  C4   (T)  #516  FBA_D14          V VIA .
$111       8.925     0.189   1  B4   (T)  #518  FBA_D15          V VIA .
$112       9.170     0.480   1  B3   (T)  #541  FBAVREF1Q        V VIA .
$113       9.350     0.390   2  B4   (T)  #1966 FBVDDQ_SENSE_GPU V VIA .
$114       9.335     0.465   2  B3   (T)  #1822 P_FBVDDQ_LOSENS_10 V VIA .
$115       9.168     0.640   1  B3   (T)  #537  FBA_CMD2         V VIA .
$116       9.175     1.225   1  B3   (T)  #408  FBA_ZQ1          V VIA .
$117       9.168     1.343   1  B3   (T)  #543  FBA_CMD19        V VIA .
$118       8.880     0.952   1  B3   (T)  #501  FBA_CMD25        V VIA .
$119       8.748     0.914   1  C3   (T)  #499  FBA_CMD4         V VIA .
$120       8.624     0.781   3  C3   (T)  #519  FBA_D10          V VIA .
$121       8.575     0.760   3  C3   (T)  #517  FBA_D9           V VIA .
$122       8.586     0.692   2  C3   (T)  #514  FBA_DQM1         V VIA .
$123       8.302     0.392   3  C4   (T)  #522  FBA_D13          V VIA .
$124       8.252     0.375   3  C4   (T)  #727  FBB_D46          V VIA .
$125       8.245     0.425   3  C4   (T)  #520  FBA_D12          V VIA .
$126       8.197     0.407   3  C4   (T)  #729  FBB_D47          V VIA .
$127       8.148     0.360   1  C4   (T)  #726  FBB_DQS_RN5      V VIA .
$128       8.063     0.294   1  C4   (T)  #734  FBB_D41          V VIA .
$129       7.926     0.360   2  C4   (T)  #732  FBB_D43          V VIA .
$130       7.991     0.396   2  C4   (T)  #714  FBB_DQM5         V VIA .
$131       7.945     0.828   2  C3   (T)  #2093 FB_VREF          V PIN T7103.1
$132       8.010     0.870   3  C3   (T)  #521  FBA_D8           V VIA .
$133       8.006     0.931   3  C3   (T)  #534  FBA_D1           V VIA .
$134       8.070     0.930   2  C3   (T)  #526  FBA_DQS_WP0      V VIA .
$135       8.132     0.898   2  C3   (T)  #589  FBA_D31          V VIA .
$136       8.069     0.998   2  C3   (T)  #585  FBA_D26          V VIA .
$137       8.068     1.062   3  C3   (T)  #399  FBA_CLK0#        V VIA .
$138       8.003     1.063   2  C3   (T)  #531  FBA_D6           V VIA .
$139       7.940     1.095   2  C3   (T)  #505  FBA_CMD7         V VIA .
$140       7.915     1.200   1  C3   (T)  #908  FB_PLLAVDD       V VIA .
$141       8.022     1.166   2  C3   (T)  #503  FBA_CMD24        V VIA .
$142       8.070     1.128   3  C3   (T)  #502  FBA_CMD10        V VIA .
$143       8.020     1.245   2  C3   (T)  #396  FBA_DEBUG1       V VIA .
$144       8.070     1.291   2  C3   (T)  #401  FBA_CLK1#        V VIA .
$145       8.101     1.423   3  C3   (T)  #605  FBA_DQS_RN7      V VIA .
$146       8.136     1.459   3  C3   (T)  #610  FBA_D63          V VIA .
$147       8.557     1.062   1  C3   (T)  #493  FBA_CMD9         V VIA .
$148       8.619     1.119   2  C3   (T)  #498  FBA_CMD20        V VIA .
$149       8.554     1.149   2  C3   (T)  #509  FBA_CMD27        V VIA .
$150       8.590     1.210   2  C3   (T)  #562  FBA_D38          V VIA .
$151       8.545     1.420   2  C3   (T)  #564  FBA_D39          V VIA .
$152       8.606     1.476   1  C3   (T)  #560  FBA_D36          V VIA .
$153       8.554     1.551   1  C3   (T)  #546  FBA_DQM4         V VIA .
$154       8.736     1.686   1  C3   (T)  #558  FBA_DQS_RN4      V VIA .
$155       8.838     1.651   1  B3   (T)  #557  FBA_DQS_WP4      V VIA .
$156       8.973     1.695   1  B3   (T)  #559  FBA_D32          V VIA .
$157       8.904     1.734   2  B3   (T)  #561  FBA_D34          V VIA .
$158       8.646     1.835   1  C3   (T)  #565  FBA_D35          V VIA .
$159       8.515     1.810   1  C3   (T)  #563  FBA_D33          V VIA .
$160       8.220     2.115   1  C3   (T)  #1010 +VGA_CORE_DISCHRG V VIA .
$161       8.128     1.970   1  C3   (T)  #342  +1.5VSG_DISCHRG  V VIA .
$162       8.128     1.865   1  C3   (T)  #341  +FBVDDQ          V VIA .
$163       7.980     1.840   2  C3   (T)  #284  PEX_TSTCLK_OUTN  V VIA .
$164       8.020     1.905   2  C3   (T)  #283  PEX_TSTCLK_OUT   V VIA .
$165       8.053     2.145   1  C2   (T)  #892  +NVVDD           V VIA .
$166       7.915     2.883   2  C2   (T)  #1911 NVDD_PSI         V VIA .
$167       7.968     2.950   2  C2   (T)  #1914 NVDD_PWM_VID     V VIA .
$168       8.145     2.940   1  C2   (T)  #764  NVDD_PWM_STDBY   V VIA .
$169       8.085     3.065   3  C2   (T)  #985  N23246820        V VIA .
$170       8.020     3.065   3  C2   (T)  #986  P_NVVDD_REFIN_D_10 V VIA .
$171       7.935     3.065   3  C2   (T)  #1513 P_NVVDD_VID_10   V VIA .
$172       7.925     3.165   3  C2   (T)  #1508 P_NVVDD_REFADJ_10 V VIA .
$173       7.985     3.165   3  C2   (T)  #1509 P_NVVDD_REFIN_10 V VIA .
$174       7.945     3.270   2  C2   (T)  #776  P_NVVDD_TON_10   V VIA .
$175       8.010     3.240   2  C2   (T)  #1514 P_NVVDD_VREF_10  V VIA .
$176       8.068     3.170   2  C2   (T)  #242  P_NVVDD_REFIN_R_10 V VIA .
$177       8.138     3.165   2  C2   (T)  #763  P_NVVDD_REFIN_L_10 V VIA .
$178       8.130     3.235   2  C2   (T)  #775  N23345552        V VIA .
$179       8.235     3.283   2  C2   (T)  #937  N25015336        V VIA .
$180       8.195     3.345   2  C2   (T)  #243  P_NVVDD_FBRTN_10 V VIA .
$181       8.260     3.373   2  C2   (T)  #248  NVDD_VSSSENSE    V VIA .
$182       8.255     3.458   1  C2   (T)  #247  NVDD_VCCSENSE    V VIA .
$183       8.235     3.540   2  C2   (T)  #936  N304437270       V VIA .
$184       8.168     3.515   2  C2   (T)  #246  P_NVVDD_VSN_10   V VIA .
$185       8.120     3.405   1  C2   (T)  #199  P_NVVDD_FB_RC_10 V VIA .
$186       8.034     3.367   1  C2   (T)  #200  P_NVVDD_FB_10    V VIA .
$187       7.945     3.380   1  C2   (T)  #244  P_NVVDD_COMP_10  V VIA .
$188       7.968     3.578   1  C2   (T)  #1912 NVDD_ALERT#_L    V VIA .
$189       8.140     3.925   1  C1   (T)  #1861 PQ9106_PIN5_10   V VIA .
$190       8.243     3.925   1  C1   (T)  #1860 PQ9105_PIN5_10   V VIA .
$191       8.103     4.132   1  C1   (T)  #1389 +12V             V VIA .
$192       8.018     4.250   1  C1   (T)  #241  P_5VLS_RC_10     V VIA .
$193       8.010     4.475   1  C1   (T)  #239  P_5VSLS_RC_10    V VIA .
$194       7.583     4.280   1  C1   (T)  #262  +5VO             V VIA .
$195       7.216     4.265   1  C1   (T)  #1967 +5VA             V PIN PT8108.1
$196       7.185     4.397   1  C1   (T)  #255  P_5VSUS_LX_30    V VIA .
$197       7.083     4.628   1  C1   (T)  #922  P_5VSUS_SNB_S    V VIA .
$198       6.950     4.635   1  D1   (T)  #921  P_3VA_DSW_SNB_S  V VIA .
$199       6.790     4.770   1  D1   (T)  #238  P_3VSLS_RC_10    V VIA .
$200       6.478     4.583   1  D1   (T)  #1303 +3VA_DSW         V PIN PT8101.1
$201       6.770     4.553   1  D1   (T)  #256  P_3VA_DSW_LX_30  V VIA .
$202       6.963     4.355   1  D1   (T)  #261  P_5V3V_VIN_20    V VIA .
$203       7.048     4.315   1  C1   (T)  #264  +5VAO            V PIN PT8104.1
$204       7.150     4.115   3  C1   (T)  #259  P_5V3V_VCLK_20   V VIA .
$205       7.088     4.123   3  C1   (T)  #263  +3VAO            V PIN PT8105.1
$206       6.878     4.158   1  D1   (T)  #251  P_3VA_DSW_CS_20  V VIA .
$207       6.895     4.070   1  D1   (T)  #771  +3VA             V PIN PT8102.1
$208       6.650     3.850   1  D1   (T)  #1308 P_NVVDD_VIN_S    V VIA .
$209       6.828     3.463   1  D2   (T)  #927  P_NVVDD_LX1_30   V VIA .
$210       6.915     3.470   2  D2   (T)  #1831 P_NVVDD_DH1_R_30 V VIA .
$211       7.318     3.310   1  C2   (T)  #1511 P_NVVDD_DH1_30   V VIA .
$212       7.330     3.443   1  C2   (T)  #929  P_NVVDD_LX2_30   V VIA .
$213       7.388     3.530   1  C2   (T)  #1832 P_NVVDD_DH2_R_30 V VIA .
$214       7.656     3.422   1  C2   (T)  #1294 P_NVVDD_BST2_20  V VIA .
$215       7.780     3.400   3  C2   (T)  #1512 P_NVVDD_DH2_30   V VIA .
$216       7.808     3.488   3  C2   (T)  #1506 N25203306        V VIA .
$217       7.870     3.505   3  C2   (T)  #1510 P_NVVDD_ISEN2_10 V VIA .
$218       7.840     3.400   3  C2   (T)  #1388 P_NVVDD_ISEN1_10 V VIA .
$219       7.710     3.295   1  C2   (T)  #981  P_NVVDD_PVCC_20  V VIA .
$220       7.753     3.111   1  C2   (T)  #1293 P_NVVDD_BST1_20  V VIA .
$221       7.815     3.160   2  C2   (T)  #1505 P_NVVDD_EN_10    V VIA .
$222       7.882     3.070   3  C2   (T)  #1507 P_NVVDD_PSI_10   V VIA .
$223       7.883     2.958   1  C2   (T)  #289  +3VSG            V VIA .
$224       7.810     2.898   1  C2   (T)  #1537 NVDD_PWR_EN      V PIN T7701.1
$225       7.385     2.375   1  C2   (T)  #1758 PCIENB_RXN5      V VIA .
$226       7.151     2.355   1  C2   (T)  #1774 PCIENB_RXN1      V VIA .
$227       7.045     2.550   1  C2   (T)  #1681 PCIEG_RXN14      V VIA .
$228       7.075     2.655   1  C2   (T)  #1683 PCIEG_RXN15      V VIA .
$229       6.950     2.730   1  D2   (T)  #1679 PCIEG_RXN13      V VIA .
$230       6.835     2.790   1  D2   (T)  #1711 PCIEG_RXP13      V VIA .
$231       6.745     2.820   2  D2   (T)  #1709 PCIEG_RXP12      V VIA .
$232       6.675     2.825   2  D2   (T)  #1677 PCIEG_RXN12      V VIA .
$233       6.610     2.855   3  D2   (T)  #1701 PCIEG_RXP8       V VIA .
$234       6.470     3.016   2  D2   (T)  #1663 PCIEG_RXN5       V VIA .
$235       6.475     2.926   1  D2   (T)  #1667 PCIEG_RXN7       V VIA .
$236       6.560     2.875   3  D2   (T)  #1669 PCIEG_RXN8       V VIA .
$237       6.630     2.696   2  D2   (T)  #1675 PCIEG_RXN11      V VIA .
$238       6.680     2.635   1  D2   (T)  #1713 PCIEG_RXP14      V VIA .
$239       6.555     2.707   2  D2   (T)  #1707 PCIEG_RXP11      V VIA .
$240       6.425     2.661   1  D2   (T)  #1715 PCIEG_RXP15      V VIA .
$241       6.470     2.592   2  D2   (T)  #1705 PCIEG_RXP10      V VIA .
$242       6.545     2.555   1  D2   (T)  #1673 PCIEG_RXN10      V VIA .
$243       6.461     2.285   1  D2   (T)  #1515 CLK_CPU_BCLK     V VIA .
$244       6.549     2.315   2  D2   (T)  #1927 CLK_DP_SSC_N     V VIA .
$245       6.584     2.255   2  D2   (T)  #1928 CLK_DP_SSC_P     V VIA .
$246       6.525     2.200   1  D2   (T)  #1923 CLK_PCH_DP_N     V VIA .
$247       6.748     2.030   2  D3   (T)  #1436 SMB1_DAT_S       V VIA .
$248       6.768     1.960   2  D3   (T)  #1435 SMB1_CLK_S       V VIA .
$249       6.725     1.898   2  D3   (T)  #311  CPU_THERM#       V VIA .
$250       6.985     2.000   1  C3   (T)  #1011 +3VSG_DISCHRG    V VIA .
$251       7.105     2.060   1  C3   (T)  #1418 DGPU_DSG_SW      V VIA .
$252       7.240     2.105   2  C3   (T)  #1780 PCIENB_RXP0      V VIA .
$253       7.205     2.185   1  C2   (T)  #1778 PCIENB_RXN0      V VIA .
$254       7.188     2.275   1  C2   (T)  #1776 PCIENB_RXP1      V VIA .
$255       7.290     2.205   2  C2   (T)  #1770 PCIENB_RXN2      V VIA .
$256       7.356     2.185   2  C2   (T)  #1768 PCIENB_RXP3      V VIA .
$257       7.435     2.190   3  C2   (T)  #1762 PCIENB_RXN4      V VIA .
$258       7.478     2.235   3  C2   (T)  #1754 PCIENB_RXN6      V VIA .
$259       7.450     2.325   2  C2   (T)  #1764 PCIENB_RXP4      V VIA .
$260       7.561     2.255   3  C2   (T)  #1742 PCIENB_RXN9      V VIA .
$261       7.536     2.200   3  C2   (T)  #1752 PCIENB_RXP7      V VIA .
$262       7.501     2.155   3  C2   (T)  #1756 PCIENB_RXP6      V VIA .
$263       7.600     2.185   2  C2   (T)  #1744 PCIENB_RXP9      V VIA .
$264       7.700     2.240   1  C2   (T)  #1746 PCIENB_RXN8      V VIA .
$265       7.660     2.125   3  C3   (T)  #1740 PCIENB_RXP10     V VIA .
$266       7.732     2.055   3  C3   (T)  #1730 PCIENB_RXN12     V VIA .
$267       7.765     2.005   3  C3   (T)  #1732 PCIENB_RXP12     V VIA .
$268       7.895     1.463   1  C3   (T)  #1573 +PEX_PLLVDD      V VIA .
$269       7.783     1.410   1  C3   (T)  #343  +PEX_VDD         V VIA .
$270       7.658     2.065   3  C3   (T)  #1738 PCIENB_RXN10     V VIA .
