 X450VC-MB-R20        FABMASTER (R)          licence #5039 TEST RESEARCH INC, 

 Test Fixture Nails    1311/1464 Selected Drills           25-Feb-2013 8:59
                       1311 Nails, 1633 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$78        1.890     1.505   1  4A   (T)  #1409 MSBS             V PIN T3305.1
$79        2.044     1.545   1  4A   (T)  #1403 CLKREQ_GLAN#     V VIA .
$80        2.165     1.615   1  4A   (T)  #448  EXTTS#           V VIA .
$81        2.245     1.495   1  4A   (T)  #1617 LCD_BL_PWM       V VIA .
$82        2.250     1.410   2  4A   (T)  #181  +1.8VS_PWRGD     V VIA .
$83        2.340     1.380   2  4A   (T)  #897  KSI2             V VIA .
$84        2.275     1.345   2  4A   (T)  #898  KSI4             V VIA .
$85        2.312     1.280   2  4A   (T)  #1487 PM_PWRBTN#       V VIA .
$86        2.380     1.305   2  4A   (T)  #893  KSO13            V VIA .
$87        2.430     1.215   2  4A   (T)  #1623 HDMI_HP_EC       V VIA .
$88        2.505     1.205   2  4A   (T)  #912  KSO8             V VIA .
$89        2.515     1.290   2  4A   (T)  #903  KSO9             V VIA .
$90        2.450     1.340   1  4A   (T)  #891  KSO15            V VIA .
$91        2.570     1.395   1  3A   (T)  #88   THRO_CPU#        V VIA .
$92        2.642     1.275   2  3A   (T)  #892  KSO5             V VIA .
$93        2.570     1.225   2  3A   (T)  #911  KSO6             V VIA .
$94        2.637     1.205   2  3A   (T)  #1620 EC_GPE5          V PIN T3008.1
$95        2.705     1.185   2  3A   (T)  #1619 GPA7             V PIN T3018.1
$96        2.733     1.114   2  3A   (T)  #1618 GPA6             V PIN T3014.1
$97        2.772     1.171   2  3A   (T)  #1616 ODD_PWR_CNT#     V PIN T3013.1
$98        2.838     1.264   1  3A   (T)  #486  BT_LED           V VIA .
$99        2.932     1.059   2  3A   (T)  #507  LPC_FRAME#       V VIA .
$100       2.930     0.989   2  3A   (T)  #510  LPC_AD2          V VIA .
$101       2.815     0.900   2  3A   (T)  #1131 EXP_GATE#        V VIA .
