 X450VC-MB-R20

 Parts List              0/2261 Selected Parts             25-Feb-2013 8:59
                                                          INCH units

Part     X       Y     Rot  Grid  T/B 'Device', 'Outline'
J4901                    0.232     3.132  270.0  5B   (B)  '2660 1212-00F1000', 'NBS_HDMI_19P_045'
J5001                    4.067     6.387    0.0  3D   (B)  '2690 1217-001S000', 'NBS_WTOB_4P_012C'
J5101                    8.034     1.607  180.0  1A   (B)  '2580 1224-0138000', 'NBS_SATA_22P_033'
J5102                    8.113     3.775  180.0  1B   (B)  '2590 1224-013U000', 'NBS_SATA_13P_022'
J5201                    0.314     1.529  180.0  5A   (B)  '2550 1213-0180000', 'NBS_USB_9P_044'
J5202                    0.314     0.820  180.0  5A   (B)  '2540 1213-0181000', 'NBS_USB_9P_044'
J5501                    0.143     0.210   90.0  5A   (B)  '2560 1214-00YD000', 'NBS_AUDIO_JACK_6P_004'
J5602                    7.173     0.053   90.0  1A   (T)  '10 0634-000H000', 'NBS_SOT23_3P_003'
J6602                    5.394     0.086  270.0  2A   (B)  'NBS_USB_1X4P_000C', 'NBS_USB_1X4P_000C'
J6603                    4.705     0.086  270.0  2A   (B)  'NBS_USB_1X4P_000C', 'NBS_USB_1X4P_000C'
JP0601                   3.716     3.471   90.0  3B   (B)  'NBS_1MM_OPEN_5MIL_000', 'NBS_1MM_OPEN_5MIL_000'
JP3001                   1.835     1.083    0.0  4A   (T)  'NBS_1MM_OPEN_5MIL_000', 'NBS_1MM_OPEN_5MIL_000'
JP3601                   1.302     0.530  270.0  4A   (T)  'NBS_1MM_OPEN_5MIL_000', 'NBS_1MM_OPEN_5MIL_000'
JRST2001                 5.885     1.623    0.0  2A   (B)  'NB_OPEN2_5MIL_PT', 'NB_OPEN2_5MIL_PT'
PJ6003                   6.142     7.738  270.0  2D   (B)  '2650 1220-00HP000', 'NBS_BATT_9P_027'
PJ8001                   5.241     5.588    0.0  2C   (B)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJ8003                   5.242     5.507  180.0  2C   (B)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJ8004                   4.970     5.597    0.0  2C   (B)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJ8005                   4.970     5.507  180.0  2C   (B)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJ8008                   4.598     5.588    0.0  2C   (B)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJ8009                   4.598     5.513  180.0  2C   (B)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJ8102                   2.173     3.316   90.0  4B   (B)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJ8104                   2.373     3.858  180.0  4B   (B)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJ8200                   6.230     3.558  180.0  2B   (B)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJ8201                   5.887     3.563    0.0  2B   (B)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJ8202                   5.937     3.563  180.0  2B   (B)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJ8301                   6.535     3.745  270.0  2B   (B)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJ8303                   5.430     2.360  180.0  2B   (T)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJ8400                   2.860     2.042  180.0  3B   (B)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJ8504                   7.380     4.015   90.0  1B   (B)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJ8505                   7.363     4.228    0.0  1C   (B)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
