 3.1        Tebo-ICT,  license #willjames
R5303        -0.6996   -3.1535  180.0  B4   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R5304        -0.6996   -3.1895  180.0  B4   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R5305        -0.7915   -2.6875   90.0  B4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R5501        -0.8236    3.1695   90.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R5502        -0.8196    3.2395  270.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R5503        -1.0196    3.1345  180.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R5504        -0.9305    3.6845    0.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R5505        -0.8546    3.5495  270.0  B1   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R5512        -0.6096    3.5745  270.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R5514        -0.5095    3.5445  180.0  B1   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R5516        -0.9245    3.5845  180.0  B1   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R5517        -0.4205    3.6705   90.0  B1   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R5548        -0.4446    3.6745  180.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R5549        -0.6096    3.5745  270.0  B1   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R5550        -0.9305    3.6295    0.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R5551        -0.7506    3.5535  180.0  B1   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R5701        -1.7326   -3.5975  270.0  B4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R5703        -1.7495   -3.8405   90.0  B4   (B)  'NBS_R0603_H24_000S', 'NBS_R0603_H24_000S'
R5704        -1.0496   -2.6105   90.0  B4   (B)  'NBS_R0603_H24_000S', 'NBS_R0603_H24_000S'
R5705        -0.5820    2.6320  180.0  B1   (B)  'NBS_R0603_H24_000S', 'NBS_R0603_H24_000S'
R5708        -3.2996    0.3445    0.0  A2   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
R5710        -0.6795   -3.4755    0.0  B4   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
R5711        -1.1995   -2.6205  270.0  B4   (B)  'NBS_R0603_H24_000S', 'NBS_R0603_H24_000S'
R5712        -0.5746    2.0245  180.0  B2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R5713        -3.2096    0.4185  270.0  A2   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
R5715        -3.3146    0.8345   90.0  A2   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
R5718        -5.1945   -0.9155  270.0  A3   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
R5719        -3.5795    0.2635  270.0  A2   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
R5720        -3.4646    0.8345  270.0  A2   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
R5721        -5.1795   -0.5305   90.0  A3   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
R5722        -3.4495    0.4175   90.0  A2   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
R5723        -0.6946   -3.6405  180.0  B4   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R5766        -5.2195   -0.8305  270.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R5767        -3.3906    0.4025   90.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R5801        -0.3446   -1.0405  180.0  B3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R5803        -0.3446   -1.0805  180.0  B3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R5805        -0.3446   -1.2755  180.0  B3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R5811        -0.3446   -1.1955    0.0  B3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R5812        -0.2905   -1.2215  270.0  B3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R5815        -0.2046   -1.2755  180.0  B3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R5850        -0.5996   -3.8530    0.0  B4   (B)  'NBS_R0402_H14_000S', 'NBS_R0402_H14_000S'
R5851        -0.5796    3.1295   90.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R6401        -3.8645   -2.1505    0.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R6402        -3.8070   -2.1655  270.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R6403        -3.6431   -2.1705  180.0  A3   (T)  'NBS_R0805_H24_000S_B', 'NBS_R0805_H24_000S_B'
R6601        -2.2944   -3.5055   90.0  B4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R6603        -2.2794   -3.5605  180.0  B4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R6604        -2.3344   -3.5055   90.0  B4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R6605        -3.0994   -3.5255   90.0  A4   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R6606        -2.8594   -3.8475  270.0  A4   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R6607        -2.7844   -3.8455   90.0  A4   (T)  'NBS_R0201_H12_000S', 'NBS_R0201_H12_000S'
R6608        -2.8194   -3.8475   90.0  A4   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R6702        -4.9996    2.0945   90.0  A2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7001        -3.7026   -0.5705  180.0  A3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7002        -5.0296   -0.8405    0.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7003        -4.9546   -0.8805  180.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7004        -4.9546   -0.8405    0.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7005        -3.6466   -0.0615    0.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7006        -3.8765   -0.3773  180.0  A3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7007        -3.6475   -0.0245  180.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7008        -3.9540   -0.0213   90.0  A3   (B)  'NBS_R0603_H24_000S', 'NBS_R0603_H24_000S'
R7101        -4.4791   -0.1163    0.0  A3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7102        -4.4655    0.0267    0.0  A2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7104        -4.4715   -0.6873    0.0  A3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7251        -4.3865    1.3727   90.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7252        -4.9048    1.0799  180.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7253        -3.6415    1.0777    0.0  A2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7254        -4.1246    1.3545   90.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7255        -4.8865    0.9977  270.0  A2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7256        -3.6565    0.9877  270.0  A2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7257        -4.9040    0.8902  180.0  A2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7258        -4.9040    0.8527    0.0  A2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7259        -4.6596    1.5145  180.0  A2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7260        -4.6596    1.4745    0.0  A2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7261        -4.1165    1.3527  270.0  A2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7262        -4.1565    1.3527   90.0  A2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7263        -4.0750    1.3527  270.0  A2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7264        -4.0350    1.3527   90.0  A2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7265        -3.6415    1.0607    0.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7266        -4.9025    1.0817  180.0  A2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7267        -3.6415    1.0417    0.0  A2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7268        -4.9045    1.0437  180.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7269        -4.2425    1.3787  270.0  A2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7301        -4.6646    0.2315   90.0  A2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7302        -4.6125    0.3945   90.0  A2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7303        -4.5766    0.3945   90.0  A2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7501        -4.5545   -0.8955  270.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7502        -4.5945   -0.8955  270.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7503        -4.6535   -0.4808  270.0  A3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7504        -4.5545   -0.8155  270.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7505        -4.5945   -0.8155  270.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7506        -4.5855   -0.4818   90.0  A3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7507        -4.5240   -0.5989    0.0  A3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7508        -4.6345   -0.8955  270.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7509        -4.5240   -0.6364  180.0  A3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7510        -4.6345   -0.8155   90.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7511        -4.5320   -0.4748    0.0  A3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7512        -4.5240   -0.5623    0.0  A3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7513        -4.4705   -0.5813  270.0  A3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7514        -4.6635   -0.2723  180.0  A3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7515        -4.5615   -0.3683    0.0  A3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7516        -4.8726   -0.1825    0.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7517        -4.8975   -0.2525  180.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7518        -4.4355   -0.3573  270.0  A3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7519        -4.8313   -0.2236    0.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7520        -4.8313   -0.2686    0.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7521        -4.5975   -0.3143  180.0  A3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7522        -4.8246   -0.4165    0.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7523        -4.6320   -0.3668    0.0  A3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7524        -4.8246   -0.3445  180.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7525        -5.0995   -0.8405  180.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7601        -3.6486   -0.6155  180.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7606        -4.8296   -0.6655  180.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7608        -5.1296   -0.5905  270.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7609        -4.9496   -0.7705  180.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7610        -5.1395   -0.8955   90.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7611        -4.8296   -0.6255  180.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7612        -4.8296   -0.7455    0.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7614        -4.8296   -0.7055  180.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7615        -4.8945   -0.7055  270.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7616        -4.9596   -0.9355  180.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7617        -4.8945   -0.6305  270.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7618        -4.5145   -0.8955  270.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7619        -4.6045   -1.0605  270.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7620        -4.6445   -1.0605  270.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7701        -5.0046   -1.1805    0.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7702        -4.7946   -1.0605  180.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7703        -5.0896   -1.2205    0.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7704        -4.3346    1.6195  270.0  A2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7705        -3.4606    0.2285   90.0  A2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7706        -4.8895   -0.9855   90.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7707        -4.8495   -0.9855   90.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7708        -4.8696   -1.1855    0.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7709        -4.6996   -1.2555  270.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7710        -5.1345   -0.0775  180.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7711        -5.2146   -0.0655   90.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7712        -5.1945    0.1145    0.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7713        -5.1345   -0.0415  180.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7714        -4.1646   -0.8005  180.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7715        -4.9596   -1.0155    0.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7716        -4.2946   -0.8405    0.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7717        -4.2595   -0.9455    0.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7718        -4.0095   -0.9455  180.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7719        -4.9596   -0.9755    0.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7720        -5.0896   -1.1805    0.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7721        -5.1806    0.0625  180.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7723        -3.3436    0.2685  270.0  A2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7724        -3.3436    0.1935   90.0  A2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R7725        -4.6246   -0.9655  180.0  A3   (T)  'NBS_R0805_H24_000S_B', 'NBS_R0805_H24_000S_B'
R7726        -5.0545   -0.0375  270.0  A3   (T)  'NBS_R0805_H24_000S_B', 'NBS_R0805_H24_000S_B'
R7727        -4.9596   -1.2655    0.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7728        -5.0046   -1.2195    0.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7730        -4.9596   -1.3155    0.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7731        -5.1246    0.1725  180.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7732        -5.1246    0.2085  180.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7733        -5.1066    0.1195   90.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7735        -4.7345   -0.8355    0.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7736        -4.8895   -0.9055  270.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7737        -4.8495   -0.9055  270.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R7738        -4.7345   -0.7955  180.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
RN0501       -0.7296    0.8795  270.0  B2   (T)  'NBS_4R8P0402_H20_000S', 'NBS_4R8P0402_H20_000S'
RN0502       -0.7096    1.0195  270.0  B2   (T)  'NBS_2R4P0402_H14_000S', 'NBS_2R4P0402_H14_000S'
RN0503       -0.6296    0.9545  180.0  B2   (T)  'NBS_2R4P0402_H14_000S', 'NBS_2R4P0402_H14_000S'
RN1301       -0.7236    2.6595   90.0  B1   (B)  'NBS_4R8P0402_H22_000S', 'NBS_4R8P0402_H22_000S'
RN1302       -0.9936    2.8045  180.0  B1   (T)  'NBS_4R8P0402_H22_000S_B', 'NBS_4R8P0402_H22_000S_B'
RN1303       -0.8386    2.7625    0.0  B1   (B)  'NBS_4R8P0402_H22_000S', 'NBS_4R8P0402_H22_000S'
RN1304       -0.7126    2.5165   90.0  B1   (T)  'NBS_4R8P0402_H22_000S_B', 'NBS_4R8P0402_H22_000S_B'
RN1305       -0.7006    2.3455   90.0  B1   (B)  'NBS_4R8P0402_H22_000S', 'NBS_4R8P0402_H22_000S'
RN1306       -0.6956    2.2365   90.0  B2   (B)  'NBS_4R8P0402_H22_000S', 'NBS_4R8P0402_H22_000S'
RN2001       -1.3805   -0.0195  180.0  B3   (T)  'NBS_2R4P0402_H18_000S_B', 'NBS_2R4P0402_H18_000S_B'
RN2002       -0.5545    0.3295   90.0  B2   (T)  '2R4P0402_H18_B', '2R4P0402_H18_B'
RN2003       -0.5746    0.1895   90.0  B2   (T)  '2R4P0402_H18_B', '2R4P0402_H18_B'
RN2004       -0.5545    0.3895   90.0  B2   (T)  '2R4P0402_H18_B', '2R4P0402_H18_B'
RN2101       -0.8696    0.2595  270.0  B2   (T)  'NBS_2R4P0402_H20_000S', 'NBS_2R4P0402_H20_000S'
RN2102       -0.9646    0.1945   90.0  B2   (T)  '2R4P0402_H14', '2R4P0402_H14'
RN2103       -0.7645    0.3495   90.0  B2   (T)  'NBS_4R8P0402_H20_000S', 'NBS_4R8P0402_H20_000S'
RN2104       -1.0745    0.2705   90.0  B2   (T)  'NBS_4R8P0402_H20_000S', 'NBS_4R8P0402_H20_000S'
RN2105       -0.9596    0.3495   90.0  B2   (T)  'NBS_4R8P0402_H20_000S', 'NBS_4R8P0402_H20_000S'
RN2106       -0.8646    0.3495   90.0  B2   (T)  'NBS_4R8P0402_H20_000S', 'NBS_4R8P0402_H20_000S'
RN2201       -1.1936    1.3445  270.0  B2   (T)  'NBS_4R8P0402_H20_000S', 'NBS_4R8P0402_H20_000S'
RN2401       -2.0795    0.0095    0.0  B2   (T)  'NBS_4R8P0402_H20_000S', 'NBS_4R8P0402_H20_000S'
RN2402       -0.8806    0.5295  270.0  B2   (T)  '2R4P0402_H18_B', '2R4P0402_H18_B'
RN3002       -0.6845   -3.2005   90.0  B4   (B)  'NBS_4R8P_H28_000S', 'NBS_4R8P_H28_000S'
RN3003       -0.8095   -3.3755   90.0  B4   (B)  'NBS_2R4P0402_H18_000S', 'NBS_2R4P0402_H18_000S'
RN3004       -0.6946   -3.3755   90.0  B4   (B)  'NBS_2R4P0402_H18_000S', 'NBS_2R4P0402_H18_000S'
RN3401       -4.3246    3.2695  180.0  A1   (B)  'NBS_4R8P_H28_000S', 'NBS_4R8P_H28_000S'
RN4601       -4.8125    2.4595  270.0  A1   (T)  'NBS_2R4P0402_H18_000S_B', 'NBS_2R4P0402_H18_000S_B'
RN4606       -3.2896    2.7845  270.0  A1   (T)  'NBS_CHOKE_4P_012C', 'NBS_CHOKE_4P_012C'
RN4701       -3.3045    3.6545  180.0  A1   (T)  'NBS_4R8P0402_H20_000S', 'NBS_4R8P0402_H20_000S'
RN4903       -2.2896    3.5545   90.0  B1   (B)  'NBS_2R4P0402_H18_000S', 'NBS_2R4P0402_H18_000S'
RN4904       -2.3946    3.5545   90.0  B1   (B)  'NBS_2R4P0402_H18_000S', 'NBS_2R4P0402_H18_000S'
RN5301       -0.6996   -3.2605  270.0  B4   (T)  'NBS_2R4P0402_H18_000S_B', 'NBS_2R4P0402_H18_000S_B'
RN6604       -2.4994   -3.5455  270.0  B4   (B)  'NBS_2R4P0402_H18_000S', 'NBS_2R4P0402_H18_000S'
RN6701       -4.8895    2.3445    0.0  A1   (B)  'NBS_2R4P0402_H18_000S', 'NBS_2R4P0402_H18_000S'
RN7404       -4.9345   -0.5155  270.0  A3   (T)  'NBS_2R4P0402_H18_000S_B', 'NBS_2R4P0402_H18_000S_B'
RN7405       -4.8346   -0.5155  270.0  A3   (T)  'NBS_2R4P0402_H18_000S_B', 'NBS_2R4P0402_H18_000S_B'
RN7601       -5.0995    0.7285   90.0  A2   (T)  'NBS_2R4P0402_H18_000S_B', 'NBS_2R4P0402_H18_000S_B'
RN7602       -4.7446   -0.3455    0.0  A3   (B)  'NBS_2R4P0402_H18_000S', 'NBS_2R4P0402_H18_000S'
RN7603       -4.7446   -0.5305  180.0  A3   (B)  'NBS_2R4P0402_H18_000S', 'NBS_2R4P0402_H18_000S'
RN7604       -4.8346   -0.5705  270.0  A3   (T)  '2R4P0402_H18_B', '2R4P0402_H18_B'
RN7607       -4.6115   -0.5473   90.0  A3   (B)  '2R4P0402_H18', '2R4P0402_H18'
RN7608       -4.7446   -0.4405    0.0  A3   (B)  'NBS_2R4P0402_H18_000S', 'NBS_2R4P0402_H18_000S'
RN7609       -4.8346   -0.4605  270.0  A3   (T)  'NBS_2R4P0402_H18_000S_B', 'NBS_2R4P0402_H18_000S_B'
C0401        -1.3345    1.4095  270.0  B2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C0402        -1.0745    2.8395  180.0  B1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C0601        -2.9226   -0.2165    0.0  A3   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
C0602        -2.3036    0.4875    0.0  B2   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C0603        -1.7896    0.6975   90.0  B2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C0604        -2.2696    0.2695  270.0  B2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C0605        -2.5585    0.6135  180.0  B2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C0606        -2.5596    0.4725    0.0  B2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C0607        -2.0596   -0.0835    0.0  B3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C0608        -2.5456    0.4075    0.0  B2   (B)  'NBS_C0201_H13_000S', 'NBS_C0201_H13_000S'
C0609        -2.5516    0.7095  180.0  B2   (B)  'NBS_C0201_H13_000S', 'NBS_C0201_H13_000S'
C0610        -2.5816    0.2795   90.0  B2   (B)  'NBS_C0201_H13_000S', 'NBS_C0201_H13_000S'
C0611        -2.5955    0.5165  270.0  B2   (B)  'NBS_C0201_H13_000S', 'NBS_C0201_H13_000S'
C0612        -2.4276    0.2745  270.0  B2   (B)  'NBS_C0201_H13_000S', 'NBS_C0201_H13_000S'
C0613        -2.3556    1.2295    0.0  B2   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
C0614        -2.1835    0.6835   90.0  B2   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C0615        -2.2315    0.6835   90.0  B2   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C0616        -2.3276    0.6835   90.0  B2   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C0617        -2.3295    0.5645  270.0  B2   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C0618        -2.2796    0.6835   90.0  B2   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C0619        -2.0406    1.2875  270.0  B2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C0620        -2.2020    1.1745    0.0  B2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C0621        -2.2866    0.5765  270.0  B2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C0622        -2.2876    0.7555    0.0  B2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
