 3.1        Tebo-ICT,  license #willjames
PR8305       -4.8296    1.7775  180.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8310       -4.8346    1.7345    0.0  A2   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
PR8311       -5.1666    1.6045   90.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8313       -5.0896    1.6045  270.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8314       -5.0896    1.5245   90.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8318       -4.9496    1.6045    0.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8320       -4.5275    2.2235    0.0  A2   (T)  'NBS_R1206_H30_000S_B', 'NBS_R1206_H30_000S_B'
PR8321       -5.0496    1.5245   90.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8355       -4.9875    1.8585   90.0  A2   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
PR8405       -2.2796   -1.7515  270.0  B3   (T)  'R0603_H24', 'R0603_H24'
PR8407       -2.1706   -1.8535  180.0  B3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8408       -2.1546   -1.9645  270.0  B3   (T)  'NBS_R0603_H39_000S_B', 'NBS_R0603_H39_000S_B'
PR8409       -2.1795   -1.5875    0.0  B3   (T)  'R0402_H16', 'R0402_H16'
PR8410       -2.1795   -1.6275    0.0  B3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8419       -4.5046    3.1655  180.0  A1   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8420       -4.7796    3.1595    0.0  A1   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8421       -4.7096    3.1595  180.0  A1   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8501       -2.0496   -1.2285   90.0  B3   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
PR8503       -2.0795   -1.1555   90.0  B3   (B)  'NBS_R0603_H24_000S', 'NBS_R0603_H24_000S'
PR8504       -2.2096   -1.0605    0.0  B3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8505       -2.0596   -1.4105  270.0  B3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8506       -1.9795   -1.2875    0.0  B3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8509       -2.3146   -1.4005    0.0  B3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8510       -2.6826   -1.4455  180.0  A3   (T)  'NBS_R1206_H30_000S_B', 'NBS_R1206_H30_000S_B'
PR8511       -1.9196   -1.1705   90.0  B3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8512       -3.0745   -1.2705   90.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8515       -1.9166   -1.0955  270.0  B3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8517       -1.8776   -1.0955   90.0  B3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8518       -1.8796   -1.1705   90.0  B3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8520       -2.0246   -1.1155   90.0  B3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8522       -1.8796   -1.0205   90.0  B3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8523       -1.9795   -0.8755    0.0  B3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8524       -2.0446   -0.9405  270.0  B3   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
PR8525       -2.4495   -0.6555  270.0  B3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8527       -1.9695   -0.9205   90.0  B3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8530       -1.8785   -1.0955  270.0  B3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8531       -1.8796   -0.9305  270.0  B3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
