 3.1        Tebo-ICT,  license #willjames

 Test Fixture Nails     1172/1172  Selected Drills           13-November-2015 08:56
                        1172 Nails,  2148 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$72       -3.1405   1.8389   2  A2   (B)  #900  M_A_DQ2            V VIA .
$73       -3.1405   1.7792   3  A2   (B)  #911  M_A_DQ5            V VIA .
$74       -3.2235   1.5145   1  A2   (B)  #125  M_A_VREFDQ         V VIA .
$75       -3.1005   1.6449   3  A2   (B)  #866  M_A_DQ0            V VIA .
$76       -3.1005   1.7021   3  A2   (B)  #867  M_A_DQ1            V VIA .
$77       -3.0685   1.7702   3  A2   (B)  #938  M_A_DQS0           V VIA .
$78       -3.0685   1.8202   3  A2   (B)  #930  M_A_DQS_0          V VIA .
$79       -3.0180   1.8329   3  A2   (B)  #922  M_A_DQ6            V VIA .
$80       -3.0180   1.7789   3  A2   (B)  #927  M_A_DQ7            V VIA .
$81       -3.0180   1.7249   3  A2   (B)  #878  M_A_DQ3            V VIA .
$82       -3.0180   1.6709   3  A2   (B)  #889  M_A_DQ4            V VIA .
$83       -2.9160   1.6392   3  A2   (B)  #928  M_A_DQ8            V VIA .
$84       -2.9160   1.6932   3  A2   (B)  #929  M_A_DQ13           V VIA .
$85       -2.9160   1.7885   3  A2   (B)  #871  M_A_DQ9            V VIA .
$86       -2.9160   1.8425   3  A2   (B)  #870  M_A_DQ12           V VIA .
$87       -2.8514   1.7142   3  A2   (B)  #939  M_A_DQS1           V VIA .
$88       -2.8514   1.6642   3  A2   (B)  #931  M_A_DQS_1          V VIA .
$89       -2.7938   1.6678   3  A2   (B)  #868  M_A_DQ10           V VIA .
$90       -2.7938   1.7218   3  A2   (B)  #869  M_A_DQ11           V VIA .
$91       -2.7968   1.7729   3  A2   (B)  #873  M_A_DQ15           V VIA .
$92       -2.7968   1.8289   3  A2   (B)  #872  M_A_DQ14           V VIA .
$93       -2.7167   1.8319   2  A2   (B)  #879  M_A_DQ17           V VIA .
$94       -2.7167   1.7689   3  A2   (B)  #880  M_A_DQ16           V VIA .
$95       -2.7167   1.7149   3  A2   (B)  #875  M_A_DQ20           V VIA .
$96       -2.7178   1.6562   2  A2   (B)  #874  M_A_DQ21           V VIA .
$97       -3.1141   1.2840   1  A2   (B)  #1341 DDR_PG_CTRL_R      V VIA .
$98       -3.2285   1.0415   1  A2   (B)  #1342 N26046626          V VIA .
$99       -3.2216   0.8835   2  A2   (B)  #149  +V_VREF_RC2        V VIA .
$100      -3.2965   0.8845   2  A2   (B)  #126  N26219305          V VIA .
$101      -3.6846   0.9745   1  A2   (B)  #76   FBA_CLK1           V VIA .
$102      -3.7005   1.0417   3  A2   (B)  #1168 FBA_CMD19          V VIA .
$103      -3.6946   1.0935   3  A2   (B)  #233  N60103118          V VIA .
$104      -3.8136   1.5005   1  A2   (B)  #24   +1_35VSG           V VIA .
$105      -3.9575   1.3347   1  A2   (B)  #387  FBAVREFQ1          V VIA .
$106      -4.1865   1.4177   1  A2   (B)  #386  FBAVREFA1          V VIA .
$107      -4.3136   1.6675   1  A2   (B)  #615  N51793679          V VIA .
$108      -4.5835   1.3755   1  A2   (B)  #385  FBAVREFQ0          V VIA .
$109      -4.2140   1.2302   2  A2   (B)  #1511 FBA_CMD23          V VIA .
$110      -4.2115   1.1577   2  A2   (B)  #1512 FBA_CMD24          V VIA .
$111      -4.2413   1.0577   1  A2   (B)  #1500 FBA_CMD10          V VIA .
$112      -4.2545   0.9277   1  A2   (B)  #1503 FBA_CMD13          V VIA .
$113      -4.2675   0.8327   2  A2   (B)  #1501 FBA_CMD11          V VIA .
$114      -4.2928   0.7627   2  A2   (B)  #1170 FBA_CMD5           V VIA .
$115      -4.8406   0.8795   1  A2   (B)  #384  FBAVREFA0          V VIA .
$116      -4.8465   1.0127   2  A2   (B)  #73   FBA_CLK0_          V VIA .
$117      -4.8445   1.0817   2  A2   (B)  #1167 FBA_CMD2           V VIA .
$118      -4.8545   1.3895   1  A2   (B)  #1288 GPU_THERM_         V VIA .
$119      -4.9425   1.2955   1  A2   (B)  #312  +3V                V VIA .
$120      -5.0346   0.5695   1  A2   (B)  #1188 NB9M_RST_          V VIA .
$121      -5.0995   0.1645   1  A2   (B)  #1113 N78139646          V VIA .
$122      -4.7916   0.3335   1  A2   (B)  #1604 FBA_DQS_WP0        V VIA .
$123      -4.8625   0.4245   1  A2   (B)  #1547 FBA_D3             V VIA .
$124      -4.8205   0.5014   1  A2   (B)  #1524 FBA_D0             V VIA .
$125      -4.9085   0.5955   1  A2   (B)  #1536 FBA_D2             V VIA .
$126      -4.7865   0.5926   1  A2   (B)  #1525 FBA_D1             V VIA .
$127      -4.7096   0.5826   2  A2   (B)  #1588 FBA_DQM0           V VIA .
$128      -4.5924   0.5086   1  A2   (B)  #1585 FBA_D7             V VIA .
$129      -4.5915   0.5937   2  A2   (B)  #1558 FBA_D4             V VIA .
$130      -4.5265   0.5727   2  A2   (B)  #1580 FBA_D6             V VIA .
$131      -4.4230   0.5792   2  A2   (B)  #1569 FBA_D5             V VIA .
$132      -4.3629   0.5441   2  A2   (B)  #1523 FBA_CMD9           V VIA .
$133      -4.3138   0.5927   2  A2   (B)  #1519 FBA_CMD4           V VIA .
$134      -4.2169   0.5119   1  A2   (B)  #1513 FBA_CMD25          V VIA .
$135      -4.1196   0.6340   1  A2   (B)  #1577 FBA_D57            V VIA .
$136      -4.0565   0.5267   1  A2   (B)  #1556 FBA_D38            V VIA .
$137      -3.8865   0.4757   1  A2   (B)  #1555 FBA_D37            V VIA .
$138      -3.8665   0.5761   2  A2   (B)  #1554 FBA_D36            V VIA .
$139      -3.8076   0.6125   2  A2   (B)  #1600 FBA_DQS_RN4        V VIA .
$140      -3.7965   0.5237   1  A2   (B)  #1592 FBA_DQM4           V VIA .
$141      -3.7416   0.4235   1  A2   (B)  #1608 FBA_DQS_WP4        V VIA .
$142      -3.7124   0.5327   2  A2   (B)  #1550 FBA_D32            V VIA .
$143      -3.6914   0.6147   2  A2   (B)  #1551 FBA_D33            V VIA .
$144      -3.6494   0.6877   1  A2   (B)  #1552 FBA_D34            V VIA .
$145      -3.4410   0.6649   2  A2   (B)  #1112 H_THRMTRIP_        V VIA .
$146      -3.3685   0.6985   1  A2   (B)  #1278 FORCE_OFF__R       V VIA .
$147      -3.2275   0.5105   1  A2   (B)  #1281 FORCE_OFF_         V VIA .
$148      -2.7216   0.6105   1  A2   (B)  #1263 CFG9               V VIA .
$149      -2.6046   0.6645   1  B2   (B)  #1258 CFG0               V VIA .
$150      -2.5816   0.5655   1  B2   (B)  #1261 CFG4               V VIA .
$151      -2.6185   0.4295   2  B2   (B)  #1264 CFG10              V VIA .
$152      -2.6475   0.3665   2  B2   (B)  #1368 H_CATERR_          V VIA .
$153      -2.7765   0.4035   1  A2   (B)  #1336 VR_SVID_DATA       V VIA .
$154      -3.4596   0.3045   1  A2   (B)  #242  N45736602          V VIA .
$155      -3.4796   0.1825   1  A2   (B)  #241  N51790701          V VIA .
$156      -3.8186   0.0615   1  A2   (B)  #273  +PEX_VDD           V VIA .
$157      -3.9939   0.1167   3  A2   (B)  #1564 FBA_D45            V VIA .
$158      -4.0095   0.0685   3  A2   (B)  #1566 FBA_D47            V VIA .
$159      -4.0589   0.0847   3  A2   (B)  #1609 FBA_DQS_WP5        V VIA .
$160      -4.0589   0.1467   2  A2   (B)  #1584 FBA_D63            V VIA .
$161      -4.0705   0.2145   2  A2   (B)  #1581 FBA_D60            V VIA .
$162      -4.1315   0.1995   3  A2   (B)  #1582 FBA_D61            V VIA .
$163      -4.1239   0.1467   3  A2   (B)  #1595 FBA_DQM7           V VIA .
$164      -4.1239   0.0528   2  A2   (B)  #1562 FBA_D43            V VIA .
$165      -4.1886   0.0845   2  A2   (B)  #1553 FBA_D35            V VIA .
$166      -4.1889   0.2177   2  A2   (B)  #1579 FBA_D59            V VIA .
$167      -4.2695   0.2185   3  A2   (B)  #1578 FBA_D58            V VIA .
$168      -4.2815   0.1625   3  A2   (B)  #1557 FBA_D39            V VIA .
$169      -4.2956   0.0995   2  A2   (B)  #1506 FBA_CMD16          V VIA .
$170      -4.2866   0.0215   1  A2   (B)  #75   FBA_CLK1_          V VIA .
$171      -4.3726   -0.0585  2  A3   (B)  #71   N63707420          V VIA .
$172      -4.4025   0.0045   2  A2   (B)  #72   N63733066          V VIA .
$173      -4.3915   0.1477   1  A2   (B)  #1515 FBA_CMD27          V VIA .
$174      -4.4726   0.2235   1  A2   (B)  #1505 FBA_CMD15          V VIA .
$175      -4.5415   0.2877   1  A2   (B)  #1498 FBA_CMD0           V VIA .
$176      -4.5405   0.3961   1  A2   (B)  #1522 FBA_CMD8           V VIA .
$177      -4.6095   0.3325   2  A2   (B)  #78   FB_CAL_PU_GND      V VIA .
$178      -4.6433   0.1765   3  A2   (B)  #77   FB_CAL_PD_VDDQ     V VIA .
$179      -4.7035   0.1725   2  A2   (B)  #1544 FBA_D27            V VIA .
$180      -4.7076   0.1035   2  A2   (B)  #1541 FBA_D24            V VIA .
$181      -4.6395   0.1125   2  A2   (B)  #1405 FB_VREF            V VIA .
$182      -4.5536   0.0545   1  A2   (B)  #1542 FBA_D25            V VIA .
$183      -4.6765   -0.0445  1  A3   (B)  #1596 FBA_DQS_RN0        V VIA .
$184      -4.7185   -0.1895  2  A3   (B)  #1529 FBA_D13            V VIA .
$185      -4.7425   -0.2655  1  A3   (B)  #1301 DDC2C_DAT          V VIA .
$186      -4.6706   -0.2445  3  A3   (B)  #1176 ROM_CS_            V VIA .
$187      -4.6276   -0.2115  3  A3   (B)  #1528 FBA_D12            V VIA .
$188      -4.5809   -0.2414  3  A3   (B)  #1597 FBA_DQS_RN1        V VIA .
$189      -4.5804   -0.1774  3  A3   (B)  #1587 FBA_D9             V VIA .
$190      -4.5325   -0.1923  3  A3   (B)  #1586 FBA_D8             V VIA .
$191      -4.4845   -0.1773  3  A3   (B)  #383  FB_PLLAVDD         V VIA .
$192      -4.4565   -0.2303  2  A3   (B)  #1407 N63227995          V VIA .
$193      -4.5169   -0.2424  3  A3   (B)  #1527 FBA_D11            V VIA .
$194      -4.5315   -0.2923  3  A3   (B)  #1180 ROM_SCLK           V VIA .
$195      -4.4605   -0.2983  2  A3   (B)  #1408 N63227993          V VIA .
$196      -4.5106   -0.3785  1  A3   (B)  #1177 N63120252          V VIA .
$197      -4.5751   -0.4110  3  A3   (B)  #80   N63123612          V VIA .
$198      -4.6276   -0.4015  3  A3   (B)  #1182 SS_CLKIN           V VIA .
$199      -4.6866   -0.3955  2  A3   (B)  #1300 DDC2C_CLK          V VIA .
$200      -4.6826   -0.4665  3  A3   (B)  #1303 DDC2B_DAT          V VIA .
$201      -4.7016   -0.5135  3  A3   (B)  #1302 DDC2B_CLK          V VIA .
$202      -4.6195   -0.4983  1  A3   (B)  #1173 STRAP2             V VIA .
